Timestamp(ms),Speed(km/h),Temp(C),ErrorCode
10,0.45,35.05,0
20,0.90,35.10,0
30,1.35,35.15,0
40,1.80,35.20,0
50,2.25,35.25,0
60,2.70,35.30,0
70,3.15,35.35,0
80,3.60,35.40,0
90,4.05,35.45,0
100,4.50,35.50,0
110,4.95,35.55,0
120,5.40,35.60,0
130,5.85,35.65,0
140,6.30,35.70,0
150,6.75,35.75,0
160,7.20,35.80,0
170,7.65,35.85,0
180,8.10,35.90,0
190,8.55,35.95,0
200,9.00,36.00,0
210,9.45,36.05,0
220,9.90,36.10,0
230,10.35,36.15,0
240,10.80,36.20,0
250,11.25,36.25,0
260,11.70,36.30,0
270,12.15,36.35,0
280,12.60,36.40,0
290,13.05,36.45,0
300,13.50,36.50,0
310,13.95,36.55,0
320,14.40,36.60,0
330,14.85,36.65,0
340,15.30,36.70,0
350,15.75,36.75,0
360,16.20,36.80,0
370,16.65,36.85,0
380,17.10,36.90,0
390,17.55,36.95,0
400,18.00,37.00,0
410,18.45,37.05,0
420,18.90,37.10,0
430,19.35,37.15,0
440,19.80,37.20,0
450,20.25,37.25,0
460,20.70,37.30,0
470,21.15,37.35,0
480,21.60,37.40,0
490,22.05,37.45,0
500,22.50,37.50,0
510,22.95,37.55,0
520,23.40,37.60,0
530,23.85,37.65,0
540,24.30,37.70,0
550,24.75,37.75,0
560,25.20,37.80,0
570,25.65,37.85,0
580,26.10,37.90,0
590,26.55,37.95,0
600,27.00,38.00,0
610,27.45,38.05,0
620,27.90,38.10,0
630,28.35,38.15,0
640,28.80,38.20,0
650,29.25,38.25,0
660,29.70,38.30,0
670,30.15,38.35,0
680,30.60,38.40,0
690,31.05,38.45,0
700,31.50,38.50,0
710,31.95,38.55,0
720,32.40,38.60,0
730,32.85,38.65,0
740,33.30,38.70,0
750,33.75,38.75,0
760,34.20,38.80,0
770,34.65,38.85,0
780,35.10,38.90,0
790,35.55,38.95,0
800,36.00,39.00,0
810,36.45,39.05,0
820,36.90,39.10,0
830,37.35,39.15,0
840,37.80,39.20,0
850,38.25,39.25,0
860,38.70,39.30,0
870,39.15,39.35,0
880,39.60,39.40,0
890,40.05,39.45,0
900,40.50,39.50,0
910,40.95,39.55,0
920,41.40,39.60,0
930,41.85,39.65,0
940,42.30,39.70,0
950,42.75,39.75,0
960,43.20,39.80,0
970,43.65,39.85,0
980,44.10,39.90,0
990,44.55,39.95,0
1000,45.00,40.00,0
1010,45.45,40.05,0
1020,45.90,40.10,0
1030,46.35,40.15,0
1040,46.80,40.20,0
1050,47.25,40.25,0
1060,47.70,40.30,0
1070,48.15,40.35,0
1080,48.60,40.40,0
1090,49.05,40.45,0
1100,49.50,40.50,0
1110,49.95,40.55,0
1120,50.40,40.60,0
1130,50.85,40.65,0
1140,51.30,40.70,0
1150,51.75,40.75,0
1160,52.20,40.80,0
1170,52.65,40.85,0
1180,53.10,40.90,0
1190,53.55,40.95,0
1200,54.00,41.00,0
1210,54.45,41.05,0
1220,54.90,41.10,0
1230,55.35,41.15,0
1240,55.80,41.20,0
1250,56.25,41.25,0
1260,56.70,41.30,0
1270,57.15,41.35,0
1280,57.60,41.40,0
1290,58.05,41.45,0
1300,58.50,41.50,0
1310,58.95,41.55,0
1320,59.40,41.60,0
1330,59.85,41.65,0
1340,60.30,41.70,0
1350,60.75,41.75,0
1360,61.20,41.80,0
1370,61.65,41.85,0
1380,62.10,41.90,0
1390,62.55,41.95,0
1400,63.00,42.00,0
1410,63.45,42.05,0
1420,63.90,42.10,0
1430,64.35,42.15,0
1440,64.80,42.20,0
1450,65.25,42.25,0
1460,65.70,42.30,0
1470,66.15,42.35,0
1480,66.60,42.40,0
1490,67.05,42.45,0
1500,67.50,42.50,0
1510,67.95,42.55,0
1520,68.40,42.60,0
1530,68.85,42.65,0
1540,69.30,42.70,0
1550,69.75,42.75,0
1560,70.20,42.80,0
1570,70.65,42.85,0
1580,71.10,42.90,0
1590,71.55,42.95,0
1600,72.00,43.00,0
1610,72.45,43.05,0
1620,72.90,43.10,0
1630,73.35,43.15,0
1640,73.80,43.20,0
1650,74.25,43.25,0
1660,74.70,43.30,0
1670,75.15,43.35,0
1680,75.60,43.40,0
1690,76.05,43.45,0
1700,76.50,43.50,0
1710,76.95,43.55,0
1720,77.40,43.60,0
1730,77.85,43.65,0
1740,78.30,43.70,0
1750,78.75,43.75,0
1760,79.20,43.80,0
1770,79.65,43.85,0
1780,80.10,43.90,0
1790,80.55,43.95,0
1800,81.00,44.00,0
1810,81.45,44.05,0
1820,81.90,44.10,0
1830,82.35,44.15,0
1840,82.80,44.20,0
1850,83.25,44.25,0
1860,83.70,44.30,0
1870,84.15,44.35,0
1880,84.60,44.40,0
1890,85.05,44.45,0
1900,85.50,44.50,0
